Sites (BDGP5.78),Priori Knowledge,UMAP-1,UMAP-2,K-Means,GMM,Agglomerative (complete),Agglomerative (ward),BIRCH,Spectral Clustering,Louvain,Leiden,OPTICS,DBSCAN,HDBSCAN,HDBSCAN (soft clustering)
2L@10421460@-,Type I,7.635721,8.977445,0,1,0,1,0,0,0,0,0,0,1,1
2L@10423573@+,Type II,3.8368785,8.12353,0,0,0,1,1,1,1,1,1,1,0,0
2L@10425886@-,Type I,7.0139217,6.362664,1,0,1,0,0,0,0,0,0,0,1,1
2L@10433871@-,Type I,9.117056,7.1611366,1,1,1,0,0,0,0,0,0,0,1,1
2L@10459003@+,Type I,8.757836,8.096312,1,1,1,0,0,0,0,0,0,0,1,1
2L@10461129@+,Type I,10.506829,7.6697564,1,1,1,0,0,0,0,0,0,0,1,1
2L@10461657@+,Type I,7.137816,7.821786,0,0,0,0,0,0,0,0,0,0,1,1
2L@10461696@+,Type I,6.278968,9.798681,0,0,0,1,1,0,0,0,0,0,1,1
2L@10481132@+,Type I,7.3411956,9.510996,0,1,0,1,1,0,0,0,0,0,1,1
2L@10486060@-,Type I,7.4326973,10.085848,0,1,0,1,1,0,0,0,0,0,1,1
2L@10486685@-,Type I,10.380023,8.399856,1,1,1,0,0,0,0,0,0,0,1,1
2L@10489415@+,Type I,6.880005,9.284791,0,0,0,1,1,0,0,0,0,0,1,1
2L@10489508@+,Type II,4.4681826,9.019295,0,0,0,1,1,1,1,1,1,1,0,0
2L@10493184@-,Type I,7.7297173,8.119674,1,0,0,0,0,0,0,0,0,0,1,1
2L@10493688@-,Type I,7.008339,10.12584,0,1,0,1,1,0,0,0,0,0,1,1
2L@10494142@-,Type I,10.557839,7.5360937,1,1,1,0,0,0,0,0,0,0,1,1
2L@10496643@-,Type I,7.731208,7.2212453,1,0,1,0,0,0,0,0,0,0,1,1
2L@10507640@+,Type I,9.609878,9.324917,1,1,1,0,0,0,0,0,0,0,1,1
2L@10509980@-,Type I,6.501418,9.80459,0,0,0,1,1,0,0,0,0,0,1,1
2L@10509982@-,Type I,7.837312,6.5394483,1,0,1,0,0,0,0,0,0,0,1,1
2L@10510074@-,Type I,7.7688694,8.210178,1,1,0,1,0,0,0,0,0,0,1,1
2L@10513486@-,Type I,9.777774,8.568122,1,1,1,0,0,0,0,0,0,0,1,1
2L@10518147@+,Type I,7.095574,6.823663,1,0,1,0,0,0,0,0,0,0,1,1
2L@1051898@-,Type I,8.2601185,9.891856,0,1,0,1,0,0,0,0,0,0,1,1
2L@1052358@-,Type I,9.626381,8.844329,1,1,1,0,0,0,0,0,0,0,1,1
2L@1052706@-,Type I,7.382805,7.5792665,0,0,1,0,0,0,0,0,0,0,1,1
2L@10647859@+,Type II,4.246709,8.916849,0,0,0,1,1,1,1,1,1,1,0,0
2L@10734024@-,Type I,6.8874493,6.327884,1,0,1,0,0,0,0,0,0,0,1,1
2L@10734038@-,Type I,7.393374,7.4726415,1,0,1,0,0,0,0,0,0,0,1,1
2L@10739224@+,Type I,5.9896793,7.0531993,0,0,0,0,1,0,0,0,0,0,1,1
2L@10739225@+,Type I,8.375674,7.6704545,1,1,1,0,0,0,0,0,0,0,1,1
2L@10739241@+,Type I,7.447666,8.325219,0,0,0,1,0,0,0,0,0,0,1,1
2L@10739308@+,Type I,6.018712,6.972746,0,0,0,0,1,0,0,0,0,0,1,1
2L@10739525@+,Type I,10.447109,8.076059,1,1,1,0,0,0,0,0,0,0,1,1
2L@10739582@+,Type I,7.6167636,7.1356473,1,0,1,0,0,0,0,0,0,0,1,1
2L@10740655@+,Type I,9.381822,6.5356503,1,0,1,0,0,0,0,0,0,0,1,1
2L@10741044@-,Type I,10.162182,6.9197655,1,1,1,0,0,0,0,0,0,0,1,1
2L@10741230@-,Type I,7.847537,7.895683,1,0,1,0,0,0,0,0,0,0,1,1
2L@10743611@-,Type II,3.911927,8.558247,0,0,0,1,1,1,1,1,1,1,0,0
2L@10766394@-,Type I,8.849106,9.186535,1,1,1,0,0,0,0,0,0,0,1,1
2L@10766947@-,Type II,3.8092358,8.789889,0,0,0,1,1,1,1,1,1,1,0,0
2L@10768842@-,Type I,8.213186,6.6100106,1,0,1,0,0,0,0,0,0,0,1,1
2L@1077201@-,Type I,9.822006,9.182836,1,1,1,0,0,0,0,0,0,0,1,1
2L@1079325@+,Type I,7.472326,9.781608,0,1,0,1,1,0,0,0,0,0,1,1
2L@10848810@-,Type I,9.438556,9.124022,1,1,1,0,0,0,0,0,0,0,1,1
2L@10853348@+,Type I,7.886613,8.746991,0,1,0,1,0,0,0,0,0,0,1,1
2L@10855860@-,Type I,8.846146,7.3495283,1,1,1,0,0,0,0,0,0,0,1,1
2L@10857427@-,Type II,4.3865104,8.510463,0,0,0,1,1,1,1,1,1,1,0,0
2L@10857668@-,Type I,10.606071,7.47481,1,1,1,0,0,0,0,0,0,0,1,1
2L@10859519@+,Type I,6.9716744,9.23801,0,0,0,1,1,0,0,0,0,0,1,1
2L@10860216@+,Type I,10.58722,6.850951,1,0,1,0,0,0,0,0,0,0,1,1
2L@10861513@+,Type I,7.8300266,9.253066,0,1,0,1,0,0,0,0,0,0,1,1
2L@10969365@-,Type I,6.3366923,8.127358,0,0,0,1,1,0,0,0,0,0,1,1
2L@10969707@-,Type I,6.997783,8.871967,0,0,0,1,1,0,0,0,0,0,1,1
2L@10974153@-,Type I,5.8444576,9.402484,0,0,0,1,1,0,0,0,0,0,1,1
2L@10980950@+,Type I,8.515455,8.167215,1,1,1,0,0,0,0,0,0,0,1,1
2L@10985846@-,Type I,6.822915,8.497232,0,0,0,1,1,0,0,0,0,0,1,1
2L@10988404@+,Type II,3.8026605,8.996732,0,0,0,1,1,1,1,1,1,1,0,0
2L@10992705@+,Type I,5.3074365,8.94631,0,0,0,1,1,1,0,0,-1,-1,1,0
2L@10994008@+,Type II,3.6691856,8.64536,0,0,0,1,1,1,1,1,1,1,0,0
2L@11003087@-,Type I,9.493315,8.334153,1,1,1,0,0,0,0,0,0,0,1,1
2L@11010054@-,Type I,7.567334,6.063098,1,0,1,0,0,0,0,0,0,0,1,1
2L@11011554@+,Type I,4.3095245,8.575888,0,0,0,1,1,1,1,1,1,1,0,0
2L@1105809@-,Type I,5.975677,8.842504,0,0,0,1,1,0,0,0,0,0,1,1
2L@1107676@-,Type I,6.8950562,5.840178,1,0,1,0,0,0,0,0,0,0,1,1
2L@11093728@+,Type I,9.347804,6.1903462,1,0,1,0,0,0,0,0,0,0,1,1
2L@11097224@-,Type I,7.052959,7.205908,0,0,1,0,0,0,0,0,0,0,1,1
2L@11097979@-,Type I,10.038718,6.921733,1,1,1,0,0,0,0,0,0,0,1,1
2L@11098424@-,Type I,6.5611115,6.38436,0,0,1,0,0,0,0,0,0,0,1,1
2L@11099508@-,Type I,6.895543,6.2328124,1,0,1,0,0,0,0,0,0,0,1,1
2L@11099570@-,Type I,8.682118,6.55542,1,0,1,0,0,0,0,0,0,0,1,1
2L@11104393@-,Type I,7.509255,5.9825745,1,0,1,0,0,0,0,0,0,0,1,1
2L@11105966@-,Type I,6.796535,8.011567,0,0,0,1,1,0,0,0,0,0,1,1
2L@11107324@+,Type I,8.092658,7.5536637,1,0,1,0,0,0,0,0,0,0,1,1
2L@11108525@+,Type II,4.5139866,8.934725,0,0,0,1,1,1,1,1,1,1,0,0
2L@11108707@+,Type I,7.369439,9.277973,0,1,0,1,1,0,0,0,0,0,1,1
2L@11108747@+,Type I,9.921373,7.946603,1,1,1,0,0,0,0,0,0,0,1,1
2L@11109473@+,Type I,6.706734,9.128795,0,0,0,1,1,0,0,0,0,0,1,1
2L@11111357@-,Type II,3.623985,8.336731,0,0,0,1,1,1,1,1,1,1,0,0
2L@11117855@-,Type I,7.567012,7.053369,1,0,1,0,0,0,0,0,0,0,1,1
2L@11118748@-,Type I,7.6329126,5.7184944,1,0,1,0,0,0,0,0,0,0,1,1
2L@11118861@-,Type I,7.8475146,6.7437153,1,0,1,0,0,0,0,0,0,0,1,1
2L@11119598@-,Type I,6.4674206,7.6565757,0,0,0,1,1,0,0,0,0,0,1,1
2L@11124877@+,Type I,8.379616,9.194564,1,1,0,1,0,0,0,0,0,0,1,1
2L@11125685@+,Type I,7.531262,6.2128816,1,0,1,0,0,0,0,0,0,0,1,1
2L@11127486@+,Type I,7.908601,8.084858,1,1,0,0,0,0,0,0,0,0,1,1
2L@11131480@+,Type I,6.9171534,7.9621654,0,0,0,1,1,0,0,0,0,0,1,1
2L@11132743@+,Type I,6.95399,8.678321,0,0,0,1,1,0,0,0,0,0,1,1
2L@11133198@+,Type I,8.053145,5.767357,1,0,1,0,0,0,0,0,0,0,1,1
2L@11135069@+,Type I,9.901296,6.3805075,1,0,1,0,0,0,0,0,0,0,1,1
2L@11135111@+,Type I,8.116354,8.76552,1,1,0,1,0,0,0,0,0,0,1,1
2L@11135354@+,Type I,8.05244,7.6381927,1,0,1,0,0,0,0,0,0,0,1,1
2L@11151947@-,Type I,9.889992,7.819733,1,1,1,0,0,0,0,0,0,0,1,1
2L@11179499@+,Type I,7.5394764,7.516328,1,0,1,0,0,0,0,0,0,0,1,1
2L@11262144@-,Type I,8.387099,7.842478,1,1,1,0,0,0,0,0,0,0,1,1
2L@11265590@-,Type I,6.6493506,9.924533,0,0,0,1,1,0,0,0,0,0,1,1
2L@11266161@-,Type I,9.670489,7.011107,1,1,1,0,0,0,0,0,0,0,1,1
2L@11271220@+,Type II,4.587769,8.567321,0,0,0,1,1,1,1,1,1,1,0,0
2L@11274454@+,Type II,4.227416,8.441741,0,0,0,1,1,1,1,1,1,1,0,0
2L@11276992@+,Type I,9.8252125,9.151975,1,1,1,0,0,0,0,0,0,0,1,1
2L@11279294@+,Type I,7.4457564,8.773703,0,1,0,1,0,0,0,0,0,0,1,1
2L@11283152@+,Type I,10.316007,8.574335,1,1,1,0,0,0,0,0,0,0,1,1
2L@1131779@+,Type I,9.938093,8.266605,1,1,1,0,0,0,0,0,0,0,1,1
2L@1148266@+,Type II,3.7489276,8.543877,0,0,0,1,1,1,1,1,1,1,0,0
2L@1149062@+,Type I,7.8967524,8.809903,0,1,0,1,0,0,0,0,0,0,1,1
2L@1150067@-,Type I,7.8226886,9.33402,0,1,0,1,0,0,0,0,0,0,1,1
2L@11510089@-,Type I,7.766289,8.838085,0,1,0,1,0,0,0,0,0,0,1,1
2L@11510090@-,Type I,6.3919606,7.734516,0,0,0,1,1,0,0,0,0,0,1,1
2L@11511837@-,Type I,6.934027,9.0261345,0,0,0,1,1,0,0,0,0,0,1,1
2L@11512329@-,Type I,9.97118,7.895229,1,1,1,0,0,0,0,0,0,0,1,1
2L@11513552@-,Type I,8.104857,5.8628974,1,0,1,0,0,0,0,0,0,0,1,1
2L@11513723@-,Type I,6.7188516,9.053274,0,0,0,1,1,0,0,0,0,0,1,1
2L@11523702@-,Type I,9.132062,9.126753,1,1,1,0,0,0,0,0,0,0,1,1
2L@11524081@-,Type I,6.6807203,7.0717974,0,0,1,0,1,0,0,0,0,0,1,1
2L@11525236@-,Type I,7.7684264,5.8026366,1,0,1,0,0,0,0,0,0,0,1,1
2L@1152855@-,Type I,7.9709077,8.029507,1,1,0,0,0,0,0,0,0,0,1,1
2L@1152889@-,Type I,7.854395,6.5645156,1,0,1,0,0,0,0,0,0,0,1,1
2L@11591455@-,Type II,3.9896328,7.9881525,0,0,0,1,1,1,1,1,1,1,0,0
2L@1166255@+,Type I,10.179867,6.5562263,1,0,1,0,0,0,0,0,0,0,1,1
2L@1169348@-,Type I,7.90593,9.864333,0,1,0,1,1,0,0,0,0,0,1,1
2L@1171636@-,Type I,5.8529916,9.165049,0,0,0,1,1,0,0,0,0,0,1,1
2L@1175858@+,Type I,6.559829,6.4101057,0,0,1,0,0,0,0,0,0,0,1,1
2L@11796889@-,Type I,8.128298,7.9289927,1,1,1,0,0,0,0,0,0,0,1,1
2L@11798011@-,Type I,5.9873533,7.0590997,0,0,0,0,1,0,0,0,0,0,1,1
2L@11799181@-,Type I,5.6662884,8.182932,0,0,0,1,1,0,0,0,-1,0,-1,0
2L@1180768@+,Type I,6.803083,6.833744,0,0,1,0,0,0,0,0,0,0,1,1
2L@1181493@+,Type I,6.737306,6.706827,0,0,1,0,0,0,0,0,0,0,1,1
2L@1183656@-,Type I,9.987341,8.12624,1,1,1,0,0,0,0,0,0,0,1,1
2L@1184329@+,Type I,10.47341,8.334177,1,1,1,0,0,0,0,0,0,0,1,1
2L@11850638@+,Type I,7.098394,6.2239504,1,0,1,0,0,0,0,0,0,0,1,1
2L@11851921@+,Type I,9.101459,7.6804996,1,1,1,0,0,0,0,0,0,0,1,1
2L@11852390@+,Type I,7.0477214,6.0105157,1,0,1,0,0,0,0,0,0,0,1,1
2L@11984788@-,Type I,10.157201,8.316154,1,1,1,0,0,0,0,0,0,0,1,1
2L@11985106@-,Type I,8.98355,6.6138844,1,0,1,0,0,0,0,0,0,0,1,1
2L@11985488@-,Type I,6.3416867,7.139203,0,0,0,0,1,0,0,0,0,0,1,1
2L@11994735@-,Type I,8.35836,7.496594,1,1,1,0,0,0,0,0,0,0,1,1
2L@11998646@-,Type I,8.390321,7.4831896,1,1,1,0,0,0,0,0,0,0,1,1
2L@12016975@-,Type I,7.885385,7.995199,1,1,0,0,0,0,0,0,0,0,1,1
2L@12017269@-,Type I,6.878734,8.849739,0,0,0,1,1,0,0,0,0,0,1,1
2L@12020709@-,Type I,8.112078,7.4085827,1,0,1,0,0,0,0,0,0,0,1,1
2L@12032216@+,Type I,6.3064866,7.946324,0,0,0,1,1,0,0,0,0,0,1,1
2L@12032982@+,Type I,7.042264,8.264833,0,0,0,1,1,0,0,0,0,0,1,1
2L@12039499@-,Type I,9.497066,6.416941,1,0,1,0,0,0,0,0,0,0,1,1
2L@12056588@+,Type I,8.624123,7.2976303,1,1,1,0,0,0,0,0,0,0,1,1
2L@12057070@+,Type I,6.4701176,8.582337,0,0,0,1,1,0,0,0,0,0,1,1
2L@12059290@-,Type I,6.3649583,8.882042,0,0,0,1,1,0,0,0,0,0,1,1
2L@12061896@-,Type I,8.763908,7.487475,1,1,1,0,0,0,0,0,0,0,1,1
2L@12062012@-,Type I,7.0356054,6.7905335,0,0,1,0,0,0,0,0,0,0,1,1
2L@12062856@-,Type I,9.2867985,8.247368,1,1,1,0,0,0,0,0,0,0,1,1
2L@12102528@-,Type I,6.7075944,9.409954,0,0,0,1,1,0,0,0,0,0,1,1
2L@12102761@-,Type I,10.797213,7.328937,1,1,1,0,0,0,0,0,0,0,1,1
2L@12108491@-,Type II,3.7396004,8.37234,0,0,0,1,1,1,1,1,1,1,0,0
2L@12108665@-,Type I,8.607134,9.231222,1,1,0,0,0,0,0,0,0,0,1,1
2L@12208748@+,Type I,6.6077604,6.1831365,0,0,1,0,0,0,1,1,0,0,1,1
2L@12299019@+,Type I,7.196762,6.5820956,1,0,1,0,0,0,0,0,0,0,1,1
2L@12299310@+,Type I,6.9024158,7.128752,0,0,1,0,0,0,0,0,0,0,1,1
2L@12428959@+,Type I,7.5209193,6.524418,1,0,1,0,0,0,0,0,0,0,1,1
2L@12429553@+,Type I,7.970543,8.811752,1,1,0,1,0,0,0,0,0,0,1,1
2L@12483128@-,Type I,8.602597,6.4321527,1,0,1,0,0,0,0,0,0,0,1,1
2L@12538200@-,Type I,9.855486,6.382638,1,0,1,0,0,0,0,0,0,0,1,1
2L@12538392@-,Type II,3.794548,8.354974,0,0,0,1,1,1,1,1,1,1,0,0
2L@12694116@-,Type I,10.638531,8.173589,1,1,1,0,0,0,0,0,0,0,1,1
2L@12699892@-,Type I,9.536893,6.8419356,1,1,1,0,0,0,0,0,0,0,1,1
2L@12701904@-,Type II,4.142787,8.767966,0,0,0,1,1,1,1,1,1,1,0,0
2L@12701996@-,Type I,7.502049,6.796748,1,0,1,0,0,0,0,0,0,0,1,1
2L@12702210@-,Type I,8.289215,8.906694,1,1,0,1,0,0,0,0,0,0,1,1
2L@12703514@-,Type I,5.5629706,8.823167,0,0,0,1,1,0,0,0,-1,0,-1,1
2L@12706143@+,Type II,3.7565327,8.236775,0,0,0,1,1,1,1,1,1,1,0,0
2L@12708580@+,Type I,6.1012073,9.345085,0,0,0,1,1,0,1,1,0,0,1,1
2L@12710953@-,Type I,9.252314,8.912778,1,1,1,0,0,0,0,0,0,0,1,1
2L@12721679@-,Type I,5.9275846,8.653081,0,0,0,1,1,0,0,0,0,0,1,1
2L@12730148@+,Type I,8.318142,8.214673,1,1,1,0,0,0,0,0,0,0,1,1
2L@12980303@+,Type II,3.992805,9.041085,0,0,0,1,1,1,1,1,1,1,0,0
2L@13002128@-,Type I,7.4249654,6.106828,1,0,1,0,0,0,0,0,0,0,1,1
2L@13005664@+,Type I,10.930363,7.811414,1,1,1,0,0,0,0,0,0,0,1,1
2L@13010887@+,Type I,6.147368,9.290935,0,0,0,1,1,0,0,0,0,0,1,1
2L@13011403@+,Type I,10.246781,7.180153,1,1,1,0,0,0,0,0,0,0,1,1
2L@13011805@+,Type I,6.190311,7.6383457,0,0,0,1,1,0,0,0,0,0,1,1
2L@13011819@+,Type I,9.781312,6.8544607,1,1,1,0,0,0,0,0,0,0,1,1
2L@13015305@-,Type I,9.762205,8.031698,1,1,1,0,0,0,0,0,0,0,1,1
2L@13167576@+,Type I,9.943636,7.5286446,1,1,1,0,0,0,0,0,0,0,1,1
2L@13167803@+,Type I,7.9902253,7.0892096,1,0,1,0,0,0,0,0,0,0,1,1
2L@13171777@-,Type I,7.6441936,10.244329,0,1,0,1,1,0,0,0,0,0,1,1
2L@13172090@-,Type I,7.625342,8.368595,0,1,0,1,0,0,0,0,0,0,1,1
2L@13172880@-,Type II,4.675283,8.4978285,0,0,0,1,1,1,1,1,1,1,0,0
2L@13175729@-,Type I,8.4353075,8.688001,1,1,0,0,0,0,0,0,0,0,1,1
2L@13177857@+,Type II,3.9560661,8.360394,0,0,0,1,1,1,1,1,1,1,0,0
2L@13186248@-,Type I,8.856357,7.4457345,1,1,1,0,0,0,0,0,0,0,1,1
2L@13187719@-,Type I,6.984755,8.452665,0,0,0,1,1,0,0,0,0,0,1,1
2L@13188895@-,Type I,6.905598,8.473211,0,0,0,1,1,0,0,0,0,0,1,1
2L@13189411@-,Type I,6.8917356,5.905392,1,0,1,0,0,0,0,0,0,0,1,1
2L@13193483@+,Type I,10.760554,7.174583,1,1,1,0,0,0,0,0,0,0,1,1
2L@13193581@+,Type I,5.6678486,8.587434,0,0,0,1,1,0,1,1,0,0,1,1
2L@13194105@+,Type I,9.28656,7.6035953,1,1,1,0,0,0,0,0,0,0,1,1
2L@13198790@-,Type I,7.4821444,9.771754,0,1,0,1,1,0,0,0,0,0,1,1
2L@13201265@-,Type I,8.302967,7.8159246,1,1,1,0,0,0,0,0,0,0,1,1
2L@13202554@-,Type I,10.369583,8.55966,1,1,1,0,0,0,0,0,0,0,1,1
2L@13211429@-,Type I,6.05193,8.426302,0,0,0,1,1,0,0,0,0,0,1,1
2L@13216941@-,Type I,7.363381,7.9358144,0,0,0,0,0,0,0,0,0,0,1,1
2L@13219169@-,Type I,9.897754,7.029772,1,1,1,0,0,0,0,0,0,0,1,1
2L@13219227@-,Type I,7.9336405,9.267024,0,1,0,1,0,0,0,0,0,0,1,1
2L@13222933@+,Type I,9.033393,7.06343,1,1,1,0,0,0,0,0,0,0,1,1
2L@13287133@+,Type I,5.990725,6.9953237,0,0,0,0,1,0,0,0,0,0,1,1
2L@13287792@+,Type I,7.4798827,8.723541,0,1,0,1,0,0,0,0,0,0,1,1
2L@13288053@+,Type I,8.484831,8.988027,1,1,0,0,0,0,0,0,0,0,1,1
2L@13290333@+,Type I,7.863828,6.79266,1,0,1,0,0,0,0,0,0,0,1,1
2L@13297821@+,Type I,6.751332,9.149523,0,0,0,1,1,0,0,0,0,0,1,1
2L@13298219@+,Type I,9.131727,7.3869777,1,1,1,0,0,0,0,0,0,0,1,1
2L@13300692@+,Type I,7.3712277,9.751978,0,1,0,1,1,0,0,0,0,0,1,1
2L@13370488@-,Type I,10.823924,7.5683866,1,1,1,0,0,0,0,0,0,0,1,1
2L@13371599@-,Type I,6.865391,8.922666,0,0,0,1,1,0,0,0,0,0,1,1
2L@13372194@-,Type I,9.853787,6.4314785,1,0,1,0,0,0,0,0,0,0,1,1
2L@13373253@-,Type I,8.841951,7.4753575,1,1,1,0,0,0,0,0,0,0,1,1
2L@13375122@+,Type I,6.0519414,7.7863564,0,0,0,1,1,0,0,0,0,0,1,1
2L@13379994@+,Type I,9.175918,7.891423,1,1,1,0,0,0,0,0,0,0,1,1
2L@13383479@+,Type I,8.514786,7.9979267,1,1,1,0,0,0,0,0,0,0,1,1
2L@13385055@+,Type I,9.911314,7.873782,1,1,1,0,0,0,0,0,0,0,1,1
2L@13385375@+,Type I,7.489445,5.8888793,1,0,1,0,0,0,0,0,0,0,1,1
2L@13389628@+,Type I,6.367061,9.582368,0,0,0,1,1,0,0,0,0,0,1,1
2L@13390602@+,Type I,10.010632,7.6647153,1,1,1,0,0,0,0,0,0,0,1,1
2L@13390998@+,Type I,6.2741694,8.357564,0,0,0,1,1,0,0,0,0,0,1,1
2L@13391545@+,Type I,10.590228,8.453616,1,1,1,0,0,0,0,0,0,0,1,1
2L@13392916@+,Type I,6.7280555,9.075707,0,0,0,1,1,0,0,0,0,0,1,1
2L@13394919@-,Type I,7.267646,9.405584,0,1,0,1,1,0,0,0,0,0,1,1
2L@13444870@-,Type I,7.885239,6.897922,1,0,1,0,0,0,0,0,0,0,1,1
2L@13504615@-,Type I,7.576737,9.643816,0,1,0,1,1,0,0,0,0,0,1,1
2L@13506215@-,Type I,7.3477936,5.9982247,1,0,1,0,0,0,0,0,0,0,1,1
2L@13506573@-,Type I,6.7007165,9.823286,0,0,0,1,1,0,0,0,0,0,1,1
2L@13506664@-,Type I,10.090104,8.741283,1,1,1,0,0,0,0,0,0,0,1,1
2L@13508760@-,Type I,7.1779976,6.853864,1,0,1,0,0,0,0,0,0,0,1,1
2L@13508910@-,Type I,8.698825,8.897201,1,1,1,0,0,0,0,0,0,0,1,1
2L@13509051@-,Type I,8.152886,6.5553503,1,0,1,0,0,0,0,0,0,0,1,1
2L@13634658@+,Type I,7.3527904,6.8872433,1,0,1,0,0,0,0,0,0,0,1,1
2L@13634698@+,Type I,7.4549904,6.0983176,1,0,1,0,0,0,0,0,0,0,1,1
2L@13634714@+,Type I,9.934223,7.115781,1,1,1,0,0,0,0,0,0,0,1,1
2L@13635667@+,Type I,10.089221,7.718,1,1,1,0,0,0,0,0,0,0,1,1
2L@13781485@+,Type I,9.924671,7.134277,1,1,1,0,0,0,0,0,0,0,1,1
2L@13781901@+,Type I,6.70091,6.497871,0,0,1,0,0,0,0,0,0,0,1,1
2L@13789392@+,Type I,6.6104217,6.1766367,0,0,1,0,0,0,0,0,0,0,1,1
2L@13790205@+,Type I,9.953378,7.574697,1,1,1,0,0,0,0,0,0,0,1,1
2L@13791451@+,Type I,9.102457,8.805949,1,1,1,0,0,0,0,0,0,0,1,1
2L@13792558@+,Type I,8.637057,7.4670734,1,1,1,0,0,0,0,0,0,0,1,1
2L@13792946@+,Type I,10.224208,6.6081395,1,0,1,0,0,0,0,0,0,0,1,1
2L@13794083@+,Type I,8.093022,5.888422,1,0,1,0,0,0,0,0,0,0,1,1
2L@13814630@+,Type I,10.028387,7.450906,1,1,1,0,0,0,0,0,0,0,1,1
2L@13815545@+,Type II,3.6662607,8.585168,0,0,0,1,1,1,1,1,1,1,0,0
2L@13817850@+,Type II,4.254991,8.433651,0,0,0,1,1,1,1,1,1,1,0,0
2L@13824087@-,Type I,10.035343,6.791684,1,0,1,0,0,0,0,0,0,0,1,1
2L@13824595@-,Type I,7.8468156,10.371212,0,1,0,1,1,0,0,0,0,0,-1,1
2L@13825900@-,Type I,7.535626,10.268818,0,1,0,1,1,0,0,0,0,0,1,1
2L@13826623@-,Type I,6.424544,8.544986,0,0,0,1,1,0,0,0,0,0,1,1
2L@13826657@-,Type I,9.0449705,8.88304,1,1,1,0,0,0,0,0,0,0,1,1
2L@13828562@-,Type I,8.5425005,5.9064207,1,0,1,0,0,0,0,0,0,0,1,1
2L@13828750@-,Type I,10.77782,8.375775,1,1,1,0,0,0,0,0,0,0,1,1
